,Fixed cost (€/y),capacity,component,reference inlet,unit,agent,plant
Grid gen,0.0,8.30013329074966,generator,ElDK1 bus,MW,,external_grids
DH gen,0.0,47.32632578358964,generator,DH grid,MW,,external_grids
NG grid,0.0,1.853799917466165,generator,NG,MW,,external_grids
Heat amb,0.0,4133.158195627242,store,Heat amb,MW,external_grids,
Dig_biomass,0.0,57.07762557750548,generator,Dig_biomass,MW,,SkiveBiogas
El2_to_El_biogas,0.0,0.5465639270050769,link,El2 bus,MW,SkiveBiogas,
SkiveBiogas,0.0,57.077625570776256,link,Dig_biomass,MW,SkiveBiogas,
Heat MT_SkiveBiogas,19414.26998498395,2.2493515981776,link,Heat MT,MW,SkiveBiogas,
biogas storage,0.0,200.0,store,biogas,MW,SkiveBiogas,
Digestate,0.0,6614.6051582099435,store,Digest DM,t/h,SkiveBiogas,
solar,2804827.870066309,54.62514199840916,generator,El3 bus,MW,,renewables
onshorewind,24071489.67277091,236.82126310508463,generator,El3 bus,MW,,renewables
El3_to_DK1,94707.56535386588,6.72844494635,link,El3 bus,MW,renewables,
H2_to_delivery,0.0,43.68524633238196,link,H2,MW,electrolyzer,
DK1_to_El3,0.0,4.042989237536336,link,ElDK1 bus,MW,electrolyzer,
Heat LT_GreenHyScale,80954.77147876036,9.379479359599655,link,Heat LT_GreenHyScale,MW,electrolyzer,
Electrolyzer,12123669.344093733,64.24300931232641,link,El3 bus,MW,electrolyzer,
Heat LT_GreenHyScale_amb,0.0,9.392687626394654,link,Heat LT_GreenHyScale,MW,electrolyzer,
H2 delivery,0.0,271960.84654885286,store,H2 delivery,MW,electrolyzer,
CO2 storage return,0.0,0.991330196764903,link,CO2 storage,t/h,meoh,
El2_to_El_H2_compressor,0.0,0.046228933782498316,link,El2 bus,MW,meoh,
Heat DH_Methanol plant,964.6208994426636,0.11176168681465175,link,Heat DH_Methanol plant,MW,meoh,
H2 compressor,59527.35323789525,4.531795185212327,link,H2_distribution,MW,meoh,
H2grid_to_meoh,38774.21111198849,135.9045516766898,link,H2 delivery,MW,meoh,
H2 comp heat rejection,0.0,0.013208266794999517,link,H2 comp heat,MW,meoh,
El2_to_El_CO2_compressor,0.0,2.388198131396664,link,El2 bus,MW,meoh,
CO2 comp heat rejection,0.0,0.5705913436134994,link,CO2 comp heat,t/h,meoh,
H2 storage send,-0.0,-8.29842861094221e-11,link,H2 HP,MW,meoh,
Heat MT_Methanol plant,3544.7206265138248,0.41069393866001547,link,Heat MT,MW,meoh,
Heat DH_Methanol plant_amb,0.0,0.2235233736293035,link,Heat DH_Methanol plant,MW,meoh,
CO2 storage send,0.0,22.350609354894132,link,CO2 pure HP,t/h,meoh,
CO2 comp heat integration,413.359155688096,0.047892095772208404,link,CO2 comp heat,t/h,meoh,
Methanol plant,86779.64920136814,0.9913301967648879,link,CO2 pure HP,t/h,meoh,
CO2 compressor,0.0,22.54887539424711,link,CO2_distribution,t/h,meoh,
H2 comp heat integration,114.00123386649379,0.01320826679499936,link,H2 comp heat,MW,meoh,
Methanol prod,0.0,33373.12824169281,store,Methanol,MW,meoh,
CO2 pure HP,0.0,500.24749293016697,store,CO2 storage,t/h,meoh,
biomethanation_co2,21080410.54005195,136.6598508742249,link,H2_distribution,MW,methanation,
biomethanation_biogas,116084.27812821836,0.7022355015826774,link,H2_distribution,MW,methanation,
methanation,0.0,6651.39794842,store,methanation,MW,methanation,
Pellets boiler,180218.4914191169,1.4269449719974716,link,Digest DM,t/h,central_heat,
biochar credits,0.0,1.4662181824651086,link,biochar,t/h,central_heat,
El2_to_El_C_heat,0.0,3.066273996188303,link,El2 bus,MW,central_heat,
El boiler,13779.779536178756,1.9474261759239093,link,El_C_heat,MW,central_heat,
SkyClean,1770932.0678338227,1.6511466018751222,link,Digest DM,t/h,central_heat,
biochar storage,0.0,12844.071278391624,store,biochar storage,t/h,central_heat,
H2_pipe,674.4300587535442,2.3638937361602306,link,H2,MW,symbiosis_net,
battery discharger,0.0,15.130985025605327,link,battery,MW,symbiosis_net,
El3_to_El2,236073.3053620882,16.7716932907815,link,El3 bus,MW,symbiosis_net,
Heat storage discharger,0.0,2.3950927455474766,link,Heat DH storage,MW,symbiosis_net,
CO2_pipe,17061.139158777078,1.7460659916932795,link,CO2 sep,t/h,symbiosis_net,
Heat_MT_to_DH,10754.652054701906,1.2460418962854836,link,Heat MT,MW,symbiosis_net,
Heat DH storage charger,10938.875649624812,1.2673861774756787,link,Heat DH,MW,symbiosis_net,
Heat_DH_to_LT,19707.54846652401,2.283331058732825,link,Heat DH,MW,symbiosis_net,
Heat_MT_to_LT,67256.59377337068,7.792398416686492,link,Heat MT,MW,symbiosis_net,
battery charger,88148.2810129844,3.5719149483345722,link,El2 bus,MW,symbiosis_net,
battery,442158.4438342027,34.2903835040119,store,battery,MW,symbiosis_net,
Water tank DH storage,13415.455202666866,54.88346759049368,store,Heat DH storage,MW,symbiosis_net,
DH GL_to_DH grid,0.0,30.9105979146,link,DH GL,MW,DH,
El2_to_El_DH,0.0,11.448369598,link,El2 bus,MW,DH,
Heat pump,857526.5249913143,11.448369598,link,El_DH,MW,DH,
